date,species,plant,rep,input_by,potted,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes on plant char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_fh,fh,time_of_glow_end,thermocoupler_height,hotplate_height,notes on flame data,
2022-08-16,SALLEU,5,1,RD,yes,25.00,6.40,4.00,19.67,5,-0.9,,14:03:49,14:03:49,30.6,37,1,14:04:13,1,14:12:42,14:12:57,N/A,N/A,N/A,N/A,14:12:51,21.0,14:18:08,19.0,15.0,,
2022-08-09,MALLAU,9,1,AC,yes,25.00,30.30,18.00,39.86,6,-1.1,,14:04:06,14:04:06,34.5,32,1,14:04:15,M,14:14:16,14:15:15,N/A,N/A,N/A,N/A,14:14:23,74.0,14:20:56,19.0,15.0,glow started by touching pilot flame,
2022-11-01,SALLEU,11,3,RD,yes,25.00,6.40,3.90,18.62,2,-1.2,,14:04:58,14:04:58,23.6,54,1,14:05:52,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.0,17.0,still glowing when video ends,
2022-07-20,CEAGRI,3,1,RD,yes,20.50,19.30,7.70,24.02,6,-2.2,,14:05:37,14:05:37,31.5,39,0,N/A,M,14:10:55,14:11:07,14:11:13,14:11:21,N/A,N/A,14:11:16,44.0,14:12:27,19.0,14.0,broke in half,
2022-07-13,MALLAU,2,3,JL,yes,25.00,21.00,18.00,35.82,2,-1,,14:06:46,14:06:46,29.8,35,0,N/A,M,14:13:22,14:13:43,N/A,N/A,N/A,N/A,14:13:29,32.0,14:17:18,18.0,15.0,,
2023-01-06,QUEAGR,7,3,RD,no,25.00,18.60,12.30,28.58,6,-2.3,,14:07:23,14:07:23,22.7,40,0,N/A,M,14:08:05,14:08:23,14:22:22,14:23:01,N/A,N/A,14:22:23,53.0,14:26:16,19.0,15.0,first ignited by sample touching pilot flame (fh = 25 @ 14:08:19); second ignition is manual,
2022-09-02,ERIKAR,10,1,JC,yes,25.00,22.50,12.50,17.94,4,-1,,14:08:07,14:08:07,32.0,37,0,N/A,M,14:13:15,14:13:17,N/A,N/A,N/A,N/A,14:13:16,19.0,14:20:10,19.0,15.0,,
2022-11-22,QUEAGR,1,2,RD,no,25.00,19.50,12.00,29.55,4,-3.7,,14:12:34,14:12:34,24.0,21,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.0,16.0,,
2022-07-27,SALLEU,2,2,JL,yes,25.00,6.20,3.60,18.72,0,-1.6,,14:13:28,14:13:28,33.5,33,1,14:15:54,M,14:22:59,14:23:04,N/A,N/A,N/A,N/A,14:23:03,7.0,14:29:31,19.0,16.0,only ignited stem; leaves fell off,
2022-07-20,CEAGRI,3,2,RD,yes,25.00,13.50,6.90,23.10,10,-1.85,,14:15:16,14:15:16,31.9,38,0,N/A,M,14:20:26,14:20:48,N/A,N/A,N/A,N/A,14:20:27,39.0,14:26:19,19.0,14.0,,
2022-12-20,QUEAGR,4,4,RD,no,25.00,16.10,12.10,30.22,7,-2.65,,14:15:57,14:15:57,21.8,38,0,N/A,M,14:17:11,14:17:31,N/A,N/A,N/A,N/A,14:17:25,12.0,N/A,19.0,15.0,ignited by sample touching pilot flame (not intentional manual ignition),
2022-11-01,SALLEU,11,5,RD,yes,25.00,9.00,3.50,19.69,1,-0.9,V-shaped,14:19:27,14:19:27,23.3,52,0,N/A,M,14:25:39,14:26:41,N/A,N/A,N/A,N/A,14:25:42,32.0,14:27:38,19.0,17.0,,
2023-01-03,QUEAGR,5,3,RD,no,25.00,16.20,9.80,29.00,0,-2.45,,14:19:38,14:19:38,22.1,44,0,N/A,M,14:21:10,14:21:46,N/A,N/A,N/A,N/A,14:21:33,21.0,14:22:44,19.0,15.0,ignited by sample touching pilot flame (but not intentional manual ignition),
2022-09-02,ERIKAR,10,2,JC,yes,25.00,17.30,3.60,17.94,5,-1.35,,14:21:23,14:21:23,32.1,37,0,N/A,M,14:30:07,14:30:11,N/A,N/A,N/A,N/A,14:30:08,18.0,14:32:52,19.0,15.0,,
