"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","lfm","leaf_area","auc_voc","avg_voc","norm_avg_voc","norm_auc_voc","LMA","SLA"
"61","MANDEN",6,2022-08-17,19.021,18.469,0.507361963190184,0.492638036809816,220.972644376898,0.434,0.527999999999999,0.1645,230.62645011601,7.515,0.285,0.0861999999999998,224.291982449142,2.3376623988,NA,NA,NA,NA,0.2258666607595,4.42739090681819
"62","SALAPI",1,2022-07-26,27.5,24.684,0.526981450252951,0.473018549747049,296.39037433155,0.226,1.186,0.299200000000001,279.14967967385,3.674,2.604,0.6868,284.381338742393,8.2991423098,24676.125,1374.21,8180.3083516876,146890.439907137,0.14290633365806,6.99759048043845
"63","SALAPI",10,2022-08-17,21.733,20.269,0.517427741536117,0.482572258463883,279.966573669525,0.443,0.787499999999999,0.207350000000001,225.411880306856,3.86642857142857,2.05071428571429,0.615257142857143,245.026700820561,4.0132149592,24676.125,1374.21,8180.3083516876,146890.439907137,0.196226717981979,5.09614597993652
"64","SALAPI",2,2022-07-26,26.913,23.482,0.534041075503522,0.465958924496478,313.526868437309,0.284,1.339,0.323799999999999,239.469734867434,4.317,3.393,0.999499999999999,257.590871306583,8.462935598,24676.125,1374.21,8180.3083516876,146890.439907137,0.158219329982428,6.32034025242718
"65","SALAPI",3,2022-07-26,23.246,21.28,0.522076988725688,0.477923011274312,218.341968911917,0.33,1.536,0.4825,239.900497512437,4.285,1.708,0.502500000000001,229.340101522842,8.5384596758,24676.125,1374.21,8180.3083516876,146890.439907137,0.179891931135236,5.55889301809895
"66","SALAPI",4,2022-07-26,30.242,25.695,0.540643938716771,0.459356061283229,267.279122839,0.328333333333333,1.7385,0.473583333333333,185.003190810466,5.197,4.466,1.567,204.055212970147,10.0771684448,24676.125,1374.21,8180.3083516876,146890.439907137,0.172518700022038,5.7964730772505
"67","SALAPI",5,2022-07-26,25.084,20.441,0.550993959362987,0.449006040637013,242.031425364758,0.394,1.219,0.356400000000001,252.651806302844,5.036,4.588,1.301,250.368046337637,6.3740826824,24676.125,1374.21,8180.3083516876,146890.439907137,0.191243204824732,5.22894395602953
"68","SALAPI",6,2022-07-26,23.387,20.58,0.53192166852412,0.46807833147588,272.369314324507,0.264,1.097,0.294600000000001,318.477300830242,4.2975,2.369,0.5661,302.695480422911,6.7613055202,24676.125,1374.21,8180.3083516876,146890.439907137,0.1622467727161,6.16345079325433
"69","SALAPI",7,2022-07-26,20.349,19.456,0.511217183770883,0.488782816229117,277.80269058296,0.284,0.673999999999999,0.1784,257.758620689653,2.92,0.664,0.185600000000001,267.582417582417,3.9378973094,24676.125,1374.21,8180.3083516876,146890.439907137,0.171157332719449,5.84257761038576
"70","SALAPI",8,2022-07-26,21.644,20.489,0.51370659578003,0.48629340421997,230.823293172689,0.332,0.659000000000001,0.199200000000001,218.163348232425,2.9875,0.782999999999999,0.2461,223.826633730069,4.1130512414,24676.125,1374.21,8180.3083516876,146890.439907137,0.160221684905557,6.24135241487101
