,date,species,plant,rep,input_by,trt,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes on plant char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_of_max_flame_height,max_flame_height,time_of_glow_end,thermocoupler_height,hotplate_height,notes on flame data,end_time_clock_time,maxflameht_time_clock_time,firstigstart_time_clock_time,secondigstart_time_clock_time,firstigend_time_clock_time,secondigend_time_clock_time
363,2022-08-16,SALLEU,P4,R5,RD,W,25.0,6,5.3,19.438,2.0,-1.3,,2023-04-13 13:20:00,2023-04-13 13:20:00,29.7,39.0,0,,1,2023-04-13 13:21:20,2023-04-13 13:21:24,,,,,2023-04-13 13:21:23,11,2023-04-13 13:31:11,19.0,15.0,sample ignited by barely touching pilot flame; small flame throughout,2023-04-13 13:31:11,2023-04-13 13:21:23,2023-04-13 13:21:20,,2023-04-13 13:21:24,
364,2022-08-16,SALLEU,P4,R6,RD,W,25.0,15,5.4,"21,777",6.0,-1.2,,2023-04-13 13:32:42,2023-04-13 13:32:42,30.8,36.0,0,,1,2023-04-13 13:37:15,2023-04-13 13:37:50,,,,,2023-04-13 13:37:17,30,2023-04-13 13:45:35,19.0,15.0,,2023-04-13 13:45:35,2023-04-13 13:37:17,2023-04-13 13:37:15,,2023-04-13 13:37:50,
365,2022-08-16,SALLEU,P4,R7,RD,W,25.0,11.5,7.8,22.38,7.0,-1.3,,2023-04-13 13:52:53,2023-04-13 13:52:53,30.6,37.0,1,13:55:43,1,2023-04-13 13:57:38,2023-04-13 13:57:51,,,,,2023-04-13 13:57:41,35,2023-04-13 13:58:49,19.0,15.0,,2023-04-13 13:58:49,2023-04-13 13:57:41,2023-04-13 13:57:38,,2023-04-13 13:57:51,
366,2022-08-16,SALLEU,P5,R1,RD,W,25.0,6.4,4.0,19.672,5.0,-0.9,,2023-04-13 14:03:49,2023-04-13 14:03:49,30.6,37.0,1,14:04:13,1,2023-04-13 14:12:42,2023-04-13 14:12:57,,,,,2023-04-13 14:12:51,21,2023-04-13 14:18:08,19.0,15.0,,2023-04-13 14:18:08,2023-04-13 14:12:51,2023-04-13 14:12:42,,2023-04-13 14:12:57,
367,2022-08-16,SALLEU,P5,R2,RD,W,25.0,16.5,4.3,22.2,4.0,-1.2,Y-shaped,2023-04-13 14:40:28,2023-04-13 14:40:28,32.5,33.0,1,14:41:26,1,2023-04-13 14:46:31,2023-04-13 14:46:53,,,,,2023-04-13 14:46:32,16.5,2023-04-13 14:47:54,19.0,15.0,,2023-04-13 14:47:54,2023-04-13 14:46:32,2023-04-13 14:46:31,,2023-04-13 14:46:53,
368,2022-08-16,SALLEU,P5,R3,RD,W,25.0,8.1,5.0,20.218,6.0,-1.0,,2023-04-13 14:53:25,2023-04-13 14:53:25,32.6,34.0,1,14:54:17,1,2023-04-13 14:56:49,2023-04-13 14:57:01,2023-04-13 14:57:21,2023-04-13 14:57:24,,,2023-04-13 14:56:55,20,2023-04-13 14:58:53,19.0,15.0,,2023-04-13 14:58:53,2023-04-13 14:56:55,2023-04-13 14:56:49,2023-04-13 14:57:21,2023-04-13 14:57:01,2023-04-13 14:57:24
369,2022-08-16,SALLEU,P6,R1,RD,W,25.0,11.1,7.9,21.395,5.0,-1.2,Y-shaped,2023-04-13 15:02:05,2023-04-13 00:01:02,32.7,34.0,0,,1,2023-04-13 00:02:22,2023-04-13 00:02:28,,,,,2023-04-13 00:02:24,21,2023-04-13 00:10:21,19.0,15.0,,2023-04-13 15:11:24,2023-04-13 15:03:27,2023-04-13 15:03:25,,2023-04-13 15:03:31,
370,2022-08-16,SALLEU,P6,R2,RD,W,24.0,12.5,7.0,21.751,2.0,-1.4,,2023-04-13 15:12:51,2023-04-13 00:00:44,33.0,33.0,1,1:31,1,2023-04-13 00:02:33,2023-04-13 00:02:47,,,,,2023-04-13 00:02:34,28,2023-04-13 00:10:27,19.0,15.0,,2023-04-13 15:22:34,2023-04-13 15:14:41,2023-04-13 15:14:40,,2023-04-13 15:14:54,
371,2022-08-16,SALLEU,P6,R3,RD,W,25.0,18.5,10.2,23.925,3.0,-1.15,V-shaped,2023-04-13 15:27:12,2023-04-13 00:00:52,33.8,32.0,1,1:26,M,2023-04-13 00:16:07,2023-04-13 00:16:55,,,,,2023-04-13 00:16:03,27,2023-04-13 00:19:46,19.0,15.0,,2023-04-13 15:46:06,2023-04-13 15:42:23,2023-04-13 15:42:27,,2023-04-13 15:43:15,
372,2022-08-16,SALLEU,P6,R4,RD,W,25.0,7.6,6.5,20.028,3.0,-1.35,,2023-04-13 15:48:19,2023-04-13 00:00:22,34.7,31.0,1,1:11,0,,,,,,,,,2023-04-13 00:11:45,19.0,15.0,"seems like SALLEU samples run on this day just kind of ""dissolved into ash"", what's the difference? Same species, same group, different days did not do this",2023-04-13 15:59:42,,,,,
