label,species,plant_number,leaf_number,area_cm2,std_dev_cm2,x,y,xm,ym,perim,bx,by,width,height,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,ar,round,solidity,x_1,notes,,
CEAGRI_P1_R1_W_00001.jpg,CEAGRI,1,2,4.365697433,14.691155,8.806167502,5.140547286,8.806229169,5.140519837,9.689828507,7.31904651,4.037076374,2.864341545,2.164075423,2.686923592,2.068752022,175.8591691,0.584293851,2.890649849,1735,1169,170.0840499,2.143293448,1.29881376,0.769933327,0.95765939,1,,,
CEAGRI_P1_R1_W_00001.jpg,CEAGRI,1,3,5.38157102,15.26069219,16.46823467,12.75724667,16.4681149,12.7578646,11.11690089,14.57903443,11.626105,3.501330607,2.265318718,3.132598612,2.187330675,177.6511158,0.547206783,3.521402296,3456,3104,6.120378351,2.264959727,1.432155937,0.698247987,0.941675424,6,,,
CEAGRI_P1_R1_W_00001.jpg,CEAGRI,1,4,4.73929604,14.14502598,8.950672661,13.19192455,8.950926285,13.1918281,9.411130955,7.39076051,12.09013677,3.028861898,2.214697071,2.812182849,2.145756324,0.697981382,0.672419143,3.03619715,1752,3151,3.983525814,2.201277324,1.310578847,0.763021624,0.965746321,7,,,
CEAGRI_P1_R1_W_00001.jpg,CEAGRI,1,5,4.806064735,17.95720736,13.47941951,21.13662521,13.47826307,21.13660584,10.45974018,11.82859159,20.05460928,3.155416017,2.240007894,2.829555153,2.162626754,10.58152341,0.552023653,3.161121022,2804,5019,3.442789139,2.235020934,1.30838812,0.764299205,0.945799145,13,,,
CEAGRI_P2_R1_W_00003.jpg,CEAGRI,2,1,4.61887393,25.22406466,16.57534746,5.764344747,16.57578126,5.765296331,10.32344705,14.91229361,4.665628495,3.138542134,2.176730835,2.807127968,2.094999946,4.510969462,0.544623658,3.155743101,3535,1405,5.984952315,2.170145393,1.339917919,0.746314372,0.948008949,16,,,
CEAGRI_P2_R1_W_00003.jpg,CEAGRI,2,2,6.619656945,17.31960377,9.937952317,5.82276324,9.937390649,5.822141495,12.41833986,8.200706867,4.399864847,3.488675195,2.742005897,3.211206486,2.62468609,176.5010797,0.539409095,3.510629389,1944,1364,170.1754809,2.713053594,1.223463064,0.817352014,0.941674578,15,,,
CEAGRI_P2_R1_W_00003.jpg,CEAGRI,2,3,5.592732355,14.47530099,16.32023696,14.21479123,16.31862126,14.21454514,10.37247567,14.75199173,12.93383089,3.04151731,2.547956249,2.863112411,2.487114362,7.218241321,0.653234406,3.094992159,3497,3294,168.9198008,2.514479151,1.151178432,0.868675066,0.965595005,19,,,
CEAGRI_P2_R1_W_00003.jpg,CEAGRI,2,4,5.783055167,20.21369038,10.06308298,13.51054369,10.06345065,13.51043716,10.97047492,8.188051455,12.31793418,3.543515313,2.387654366,3.169529092,2.323125712,1.381769162,0.603832301,3.548155104,1941,3164,177.0695597,2.385813045,1.364338174,0.732956109,0.949301621,18,,,
CEAGRI_P2_R1_W_00003.jpg,CEAGRI,2,5,5.528882122,14.95980265,14.0040046,21.98082223,14.0032204,21.98062143,10.88900061,12.45714371,20.74643846,3.04151731,2.543737778,2.902711968,2.425177363,18.56452344,0.585964291,3.132040429,2953,5303,14.7474907,2.492174199,1.196907085,0.835486741,0.963258878,20,,,
CEAGRI_P3_R1_W_00001.jpg,CEAGRI,3,1,6.69471834,12.76437008,16.41946609,4.605648416,16.41939968,4.605349471,11.58534806,14.81526879,3.277751665,3.298844018,2.619670249,3.270218928,2.606547243,176.5161966,0.626792805,3.326557645,3513,1054,172.0548547,2.619670249,1.254617171,0.797055885,0.979734859,21,,,
